Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee
No,64,1,1,2.86,2,182.1,91,74.6,8.49
No,25,1,0,0.14,3,119.3,87,40.4,10.58
No,65,1,0,0.0,1,116.8,87,36.0,8.95
No,179,1,0,0.0,0,219.2,92,50.0,7.47
No,94,1,0,0.0,2,252.6,104,58.0,8.45
No,62,1,0,0.0,0,147.1,91,42.0,9.52
No,127,1,0,0.0,2,202.1,103,54.0,11.47
No,116,1,0,0.23,3,173.5,93,48.3,9.71
No,70,1,0,0.0,3,232.1,122,65.0,14.62
No,94,0,1,2.57,4,197.1,125,77.7,10.73
Yes,126,1,0,0.0,5,58.2,94,22.0,6.94
No,67,1,1,2.67,2,115.6,111,66.7,11.89
No,19,1,0,0.14,2,186.1,98,55.4,12.72
No,170,0,0,0.0,3,259.9,68,66.0,12.25
No,73,1,0,0.0,1,214.3,145,60.0,13.43
No,106,1,0,0.0,1,158.7,74,33.0,3.22
No,93,1,0,0.19,2,271.6,71,67.9,11.47
No,164,1,0,0.27,1,160.6,111,44.7,8.16
No,51,1,0,0.0,1,232.4,109,56.0,9.37
No,107,1,0,0.0,0,133.8,85,39.0,9.03
No,130,1,0,0.35,1,176.9,109,41.5,4.54
No,80,1,0,0.0,2,209.9,74,53.0,9.76
No,94,1,0,0.22,0,137.5,118,43.2,10.16
No,118,1,1,2.57,1,289.5,52,89.7,8.33
No,117,1,1,1.84,1,198.1,86,67.4,8.85
No,78,1,0,0.0,0,149.7,119,41.0,9.11
Yes,208,1,0,0.33,2,326.5,67,74.3,8.82
Yes,131,0,1,3.73,4,292.9,101,104.3,9.99
No,63,1,0,0.0,0,83.0,64,30.0,8.85
No,53,1,1,3.54,3,145.7,146,79.4,11.03
No,62,1,0,0.0,2,182.3,101,59.0,16.41
No,97,1,0,0.0,3,218.0,86,53.0,9.2
No,105,1,0,0.0,2,140.6,109,40.0,8.93
No,157,1,0,0.0,1,152.7,105,48.0,12.88
No,66,1,1,3.27,1,106.7,76,68.7,10.49
No,122,1,0,0.0,2,243.8,98,49.0,4.2
No,38,1,0,0.0,3,194.4,94,49.0,9.34
No,106,1,0,0.0,3,213.9,95,50.0,7.6
No,99,1,0,0.0,3,217.2,112,58.0,12.34
No,99,1,0,0.0,1,241.1,72,55.0,7.78
No,144,0,0,0.0,0,203.5,100,56.0,12.38
No,82,1,1,2.89,1,155.2,131,76.9,12.23
No,86,1,1,3.29,1,167.6,139,71.9,5.65
Yes,70,0,0,0.0,2,226.7,98,58.0,11.41
No,93,1,0,0.0,3,179.3,93,46.0,8.93
No,93,1,0,0.31,0,151.4,89,45.1,9.32
No,120,1,0,0.0,3,180.0,80,50.0,11.21
Yes,136,1,0,0.0,1,250.2,121,66.0,13.36
No,106,1,0,0.4,0,223.0,121,52.0,5.51
No,81,1,0,0.0,3,183.6,116,45.0,7.63
No,127,1,1,2.75,1,166.0,114,71.5,8.73
No,65,1,0,0.0,1,136.1,112,47.0,13.65
No,35,1,0,0.32,2,149.3,113,49.2,12.11
No,88,1,0,0.0,2,65.4,97,26.0,8.41
No,65,1,0,0.0,1,213.4,111,57.0,11.73
No,123,1,0,0.0,3,206.9,85,56.0,12.24
No,126,1,1,2.59,2,186.2,78,73.9,9.48
No,104,1,1,3.59,4,280.2,136,102.9,11.03
No,45,1,1,3.21,0,196.6,84,93.1,15.66
Yes,93,0,0,0.0,0,312.0,109,65.0,6.47
No,63,0,1,2.97,1,199.0,110,88.7,14.57
No,100,1,0,0.25,3,203.1,96,55.5,10.85
No,53,1,0,0.0,0,168.8,97,48.0,11.02
No,92,0,0,0.0,1,173.1,140,50.0,12.02
Yes,139,1,0,0.0,5,134.4,106,41.0,10.57
No,110,1,1,2.43,2,202.6,103,69.3,5.94
No,110,1,0,0.31,3,74.5,117,33.1,10.04
No,215,1,0,0.31,0,83.6,148,28.1,6.05
No,73,1,0,0.0,1,192.2,86,47.0,8.43
No,138,1,0,0.0,0,220.2,89,45.0,4.42
Yes,137,0,0,0.0,2,135.1,95,35.0,6.71
No,36,1,0,0.25,1,253.4,77,61.5,9.12
No,85,1,0,0.0,3,225.0,81,54.0,8.85
Yes,108,1,0,0.0,0,198.5,99,57.0,13.39
No,22,1,0,0.0,0,110.3,107,33.0,8.33
No,107,1,1,3.0,0,60.0,102,49.0,5.11
No,51,1,0,0.0,0,214.8,94,50.0,7.49
No,94,1,0,0.0,4,181.8,85,49.0,10.12
No,119,1,1,3.19,2,154.0,114,81.9,13.9
Yes,33,1,1,3.75,4,157.4,99,74.5,5.9
No,106,1,0,0.0,4,207.9,91,50.0,8.6
No,82,1,0,0.0,3,207.0,90,55.0,11.65
No,86,1,1,2.57,0,119.0,101,65.7,11.5
No,97,0,0,0.28,0,143.7,117,50.8,13.65
No,106,1,1,3.81,4,165.9,126,85.1,10.83
No,108,1,0,0.0,1,138.6,122,39.0,8.62
No,114,1,0,0.29,1,84.7,118,38.9,12.5
Yes,92,0,0,0.0,1,62.6,111,26.0,9.03
No,59,1,0,0.0,1,155.2,79,47.0,11.77
No,24,1,1,1.81,1,164.9,110,64.1,10.47
No,151,1,0,0.0,1,134.5,88,36.0,7.16
No,117,1,0,0.0,1,143.3,103,43.0,10.57
No,78,1,0,0.51,1,168.3,110,53.1,11.06
No,155,1,0,0.0,2,262.4,55,62.0,9.73
No,114,1,1,3.08,1,206.2,79,88.8,13.0
No,114,1,1,2.27,4,225.8,94,77.7,9.65
No,119,1,0,0.0,3,138.3,89,38.0,8.53
No,64,1,1,1.22,0,94.4,104,40.2,6.81
No,118,0,0,0.0,2,160.0,123,43.0,8.77
No,101,1,0,0.0,0,206.6,105,55.0,11.25
No,117,1,0,0.0,1,134.7,121,39.0,9.0
No,49,1,1,2.16,3,214.4,78,78.6,11.76
No,139,1,0,0.0,3,192.8,104,53.0,11.72
No,92,1,1,2.7,1,151.1,90,70.0,9.74
No,83,1,0,0.0,3,221.4,103,58.0,11.59
No,148,0,0,0.0,0,218.9,88,55.0,10.4
Yes,144,1,1,1.76,2,189.8,96,60.6,6.17
No,131,1,1,2.94,2,192.7,85,81.4,11.3
No,146,0,0,0.0,3,204.4,135,54.0,10.96
No,143,1,0,0.42,2,172.3,97,49.2,8.7
No,81,1,0,0.13,2,198.4,93,53.3,10.55
No,48,1,1,3.29,1,211.7,115,82.9,8.0
No,86,1,1,2.43,1,221.6,74,87.3,14.42
No,71,1,0,0.0,3,197.9,108,50.0,9.08
No,145,1,1,4.21,2,147.5,90,83.1,8.79
No,137,1,0,0.0,2,206.4,122,46.0,6.4
No,137,1,0,0.27,2,205.9,88,55.7,10.47
No,167,1,0,0.0,0,207.6,88,47.0,6.62
Yes,89,1,0,0.0,1,303.9,95,74.0,13.05
No,199,1,1,2.16,0,230.6,121,79.6,10.97
No,132,1,0,0.0,0,99.5,110,28.0,6.46
No,94,1,0,0.0,1,177.1,112,47.0,9.7
Yes,96,1,1,2.78,5,172.7,93,67.8,6.01
No,96,1,1,2.65,1,172.7,86,67.5,6.67
No,166,1,0,0.29,1,204.2,115,52.9,9.0
No,74,1,0,0.2,2,85.7,83,38.0,12.39
No,36,1,0,0.34,0,157.6,117,46.4,9.22
No,113,1,0,0.0,4,215.5,129,56.0,10.94
No,94,1,0,0.0,1,181.5,98,48.0,10.0
No,67,1,0,0.0,2,171.7,80,39.0,5.52
Yes,127,1,0,0.26,1,266.6,106,70.6,13.24
Yes,121,1,0,0.0,0,170.4,108,59.0,17.53
No,158,1,0,0.0,1,158.0,106,52.0,14.63
No,136,1,0,0.34,1,92.0,117,41.4,12.68
No,196,1,0,0.0,2,234.0,109,61.0,12.48
Yes,113,1,0,0.0,1,272.1,111,70.0,13.43
Yes,122,1,0,0.0,4,296.4,99,69.0,10.74
No,112,1,0,0.29,0,194.4,101,52.9,9.52
No,209,1,0,0.0,3,227.2,128,61.0,12.92
Yes,62,1,0,0.0,1,248.7,109,61.0,11.0
No,110,1,1,2.62,1,236.3,102,83.2,9.8
No,16,1,0,0.0,0,205.6,69,50.0,8.48
No,73,1,0,0.0,0,94.1,136,40.0,14.02
No,128,1,0,0.0,0,125.2,99,39.0,10.27
No,39,1,0,0.23,1,60.4,158,39.3,15.31
No,103,1,1,2.08,2,121.0,105,64.8,13.52
No,119,1,1,2.05,3,117.8,66,62.5,12.84
No,173,1,1,1.35,3,232.4,96,71.5,10.6
Yes,128,0,1,2.54,2,223.5,81,80.4,9.44
No,86,1,0,0.0,0,176.3,79,52.0,12.96
No,114,1,1,3.48,1,125.2,79,71.8,8.89
No,104,1,0,0.0,0,138.7,107,46.0,12.85
No,148,1,0,0.0,1,86.3,134,36.0,12.33
No,129,1,0,0.0,3,207.0,91,49.0,7.75
No,100,1,1,1.92,0,58.8,104,48.2,10.98
No,121,1,1,3.08,1,68.7,95,60.8,10.46
No,143,1,1,2.57,1,239.2,109,86.7,11.78
No,76,1,0,0.0,0,198.3,130,53.0,10.86
No,158,1,0,0.14,0,205.2,97,57.4,12.03
No,116,1,0,0.24,3,192.1,98,62.4,15.65
Yes,54,1,0,0.0,1,272.6,83,68.0,12.44
Yes,86,1,0,0.3,7,128.3,121,42.0,9.86
No,108,1,0,0.0,0,169.6,99,52.0,13.21
No,66,1,0,0.0,1,201.3,95,48.0,7.64
No,151,1,1,2.32,1,214.7,97,72.2,6.93
No,99,1,0,0.0,0,169.2,70,52.0,13.58
No,55,1,0,0.0,2,194.1,121,49.0,8.83
No,77,1,0,0.0,2,233.8,104,63.0,13.33
No,78,1,0,0.0,0,225.1,67,56.0,9.96
Yes,89,1,0,0.0,1,213.0,63,52.0,8.83
No,101,1,0,0.0,1,183.9,115,54.0,12.8
No,44,1,1,3.78,0,221.8,105,89.8,8.09
No,98,1,1,0.0,2,64.6,98,26.0,8.81
No,64,1,1,3.59,1,154.6,92,69.9,4.17
No,141,1,0,0.0,3,260.2,131,60.0,8.96
No,81,1,1,3.29,1,161.6,117,70.9,6.15
No,162,1,0,0.0,1,220.6,117,51.0,7.76
No,83,1,1,3.54,3,155.9,122,76.4,8.12
Yes,100,1,0,0.34,4,107.0,63,31.4,5.29
No,59,1,0,0.51,4,182.5,104,54.1,10.24
No,179,0,1,2.73,4,220.1,78,85.3,11.72
No,79,1,0,0.0,1,152.2,112,41.0,8.86
No,117,1,0,0.0,2,181.5,95,49.0,10.26
Yes,64,0,0,0.18,2,236.2,77,60.8,10.93
No,31,1,0,0.28,1,166.1,105,37.8,3.97
No,124,0,0,0.0,1,244.6,89,58.0,9.44
No,122,1,1,2.3,2,134.2,85,66.0,11.37
No,37,0,1,2.48,1,149.7,122,68.8,10.56
No,90,1,1,1.57,1,150.1,109,64.7,13.24
Yes,159,0,0,0.44,1,257.1,53,75.4,15.61
No,148,1,0,0.0,0,124.4,83,37.0,8.99
No,39,1,1,3.24,1,141.7,121,76.4,11.62
No,77,1,0,0.14,2,230.0,87,49.4,5.16
No,194,1,0,0.0,0,162.3,88,46.0,10.69
Yes,154,1,0,0.0,1,350.8,75,79.0,10.83
No,112,1,0,0.0,4,193.3,96,56.0,13.21
No,45,1,0,0.0,1,78.2,127,35.0,12.67
No,132,1,0,0.22,1,83.4,110,36.2,11.61
No,128,1,0,0.28,0,195.6,99,59.8,13.39
No,135,1,0,0.42,1,201.8,81,58.2,11.25
No,56,1,0,0.0,2,197.0,110,53.0,11.14
Yes,151,0,0,0.29,0,218.0,57,49.9,5.72
No,32,1,0,0.0,2,164.8,98,48.0,11.5
No,90,1,0,0.0,2,179.2,77,49.0,10.54
No,87,1,1,2.86,0,214.0,113,80.6,9.0
No,138,1,0,0.43,2,170.5,87,44.3,5.91
No,79,1,0,0.0,1,205.7,123,54.0,10.73
Yes,95,0,0,0.0,1,165.5,84,53.0,14.31
No,127,1,0,0.33,2,221.0,100,55.3,8.04
No,137,1,0,0.0,3,242.1,118,58.0,9.55
No,97,1,0,0.0,1,151.6,107,39.0,7.77
No,149,0,0,0.18,0,176.2,87,44.8,7.25
No,117,0,1,1.0,1,196.0,82,71.0,16.14
No,84,1,0,0.0,2,159.5,125,49.0,12.36
No,137,1,0,0.45,4,230.2,113,62.5,11.02
No,99,1,0,0.0,3,146.7,64,49.0,13.7
No,54,1,0,0.0,1,210.5,102,54.0,10.23
No,85,1,0,0.0,1,102.0,95,41.0,13.51
No,150,1,0,0.36,3,126.0,99,45.6,11.93
No,43,1,0,0.0,1,168.4,125,50.0,12.19
No,35,1,0,0.0,0,105.6,129,40.0,12.91
No,98,1,0,0.0,5,206.5,92,51.0,8.81
No,112,1,0,0.27,2,217.1,76,57.7,10.26
Yes,16,1,0,0.0,0,229.6,78,57.0,10.29
No,98,1,1,2.62,0,278.3,89,82.2,4.67
No,84,1,0,0.0,0,138.6,102,41.0,9.95
Yes,94,1,0,0.18,1,234.4,103,65.8,13.97
No,84,1,0,0.0,1,181.5,129,42.0,6.54
Yes,66,1,0,0.0,1,167.3,91,48.0,11.5
No,98,1,1,3.24,1,121.0,105,72.4,10.95
No,74,1,0,0.0,0,221.1,124,48.0,5.54
No,96,1,1,2.67,1,145.8,108,68.7,9.61
No,119,1,0,0.34,1,222.8,122,55.4,8.16
No,73,1,0,0.0,4,183.4,80,52.0,12.1
No,92,0,0,0.0,0,264.3,91,59.0,8.05
No,21,1,0,0.0,0,146.0,78,35.0,5.49
Yes,122,1,0,0.29,4,157.1,134,45.9,9.25
No,133,0,0,0.0,1,127.3,108,43.0,12.57
No,145,1,0,0.0,2,187.9,110,49.0,9.85
No,25,1,0,0.26,2,178.8,90,45.6,7.06
No,64,1,0,0.28,2,97.2,80,35.8,9.31
No,85,1,0,0.2,0,259.8,85,67.0,12.12
No,126,1,0,0.0,3,256.5,112,61.0,9.98
No,76,1,0,0.0,0,169.5,77,40.0,6.2
Yes,113,1,0,0.0,2,239.7,47,65.0,14.15
Yes,224,0,0,0.26,1,171.5,99,45.6,8.0
No,117,1,0,0.0,0,239.9,84,56.0,8.74
No,128,1,1,4.32,1,142.3,73,84.2,9.74
No,115,1,0,0.0,2,184.1,98,60.0,16.35
No,141,1,1,2.51,2,206.9,126,83.1,13.22
No,51,1,0,0.0,1,259.9,114,60.0,8.81
No,100,1,0,0.0,0,203.8,122,59.0,14.16
No,96,1,1,2.78,3,248.8,124,82.8,7.02
No,112,1,1,3.05,1,221.6,110,79.5,6.51
No,129,0,0,0.39,1,192.9,131,52.9,9.28
No,163,1,0,0.0,1,122.4,129,31.0,5.67
No,67,1,1,2.59,1,104.9,65,62.9,10.82
No,140,1,0,0.0,3,173.2,91,47.0,9.84
No,49,1,0,0.0,2,119.4,69,44.0,13.67
Yes,46,1,0,0.0,2,250.3,100,65.0,13.03
No,148,1,0,0.39,1,178.3,98,58.9,14.13
No,112,1,0,0.0,1,243.4,77,57.0,9.11
No,78,1,0,0.0,2,155.0,106,42.0,8.77
No,61,1,1,2.32,0,288.7,101,90.2,10.19
No,58,1,1,3.02,1,240.4,80,81.2,5.95
No,155,1,0,0.0,1,190.3,123,58.0,15.07
Yes,100,1,0,0.32,0,278.0,76,66.2,8.84
No,113,1,0,0.0,1,155.0,93,55.0,16.53
No,81,1,0,0.0,2,153.5,99,43.0,9.88
No,135,1,1,3.32,1,273.4,141,93.2,7.7
No,99,1,0,0.0,0,155.3,93,49.0,13.29
No,59,1,1,1.84,1,133.1,114,60.4,11.06
No,135,1,0,0.0,1,246.8,129,58.0,9.39
No,85,0,0,0.0,2,165.4,107,45.0,9.8
No,70,1,0,0.31,0,59.5,103,35.1,12.86
No,88,1,0,0.0,3,138.3,116,44.0,11.8
No,55,1,0,0.0,2,286.7,100,61.0,6.72
No,75,1,0,0.34,1,117.3,114,41.4,10.06
No,79,1,1,1.7,4,264.3,79,80.0,10.14
No,85,1,0,0.25,0,127.9,107,47.5,13.56
No,86,1,1,2.65,0,225.5,107,86.5,12.32
No,91,1,0,0.0,0,149.0,115,47.0,12.27
No,149,1,1,3.86,1,198.9,77,96.6,13.7
Yes,97,1,0,0.0,1,256.4,125,67.0,13.7
Yes,88,1,0,0.0,1,264.8,124,66.0,12.27
No,60,1,0,0.0,2,98.2,88,33.0,9.03
No,54,1,0,0.16,2,159.8,99,51.6,13.2
No,11,1,1,1.62,3,190.6,86,68.2,11.01
No,109,1,0,0.0,0,184.0,120,42.0,6.02
No,90,1,0,0.0,1,261.8,128,64.0,11.03
No,115,1,0,0.0,3,147.9,109,45.0,11.42
No,144,1,1,2.73,1,106.4,109,55.3,5.41
No,91,1,0,0.0,0,133.7,75,40.0,9.77
No,105,1,1,2.3,0,193.5,85,75.0,11.01
Yes,71,0,0,0.0,3,178.2,113,45.0,8.39
Yes,132,1,1,2.84,3,226.2,103,82.4,9.08
No,112,1,0,0.38,1,170.4,103,49.8,10.01
No,86,1,1,3.0,3,70.9,163,57.0,8.34
No,41,1,1,4.64,2,194.4,63,101.4,12.75
No,44,1,0,0.0,1,240.3,146,55.0,8.23
No,78,1,0,0.0,3,75.0,116,34.0,12.44
No,149,1,0,0.0,1,69.1,117,24.0,6.82
Yes,72,1,1,1.67,4,96.6,59,60.7,15.77
No,139,1,1,4.0,0,214.6,101,97.0,11.76
No,74,1,0,0.0,3,148.5,111,38.0,7.33
No,50,1,0,0.29,1,258.1,106,60.9,8.07
No,141,1,1,2.05,3,149.7,112,60.5,8.13
No,140,1,0,0.0,1,149.8,134,40.0,8.22
No,99,1,0,0.0,2,190.4,102,46.0,7.91
No,166,1,0,0.21,1,181.4,108,55.1,12.69
No,124,1,0,0.0,1,151.1,123,42.0,9.37
No,74,1,0,0.0,0,155.7,116,42.0,8.69
No,117,1,0,0.0,2,149.9,95,48.0,12.81
No,85,1,0,0.0,3,222.3,132,58.0,11.58
No,36,1,1,1.81,0,149.4,111,55.1,6.59
No,102,0,0,0.0,0,233.8,103,59.0,11.08
No,76,1,0,0.0,0,204.2,100,60.0,14.63
No,165,1,0,0.0,1,242.9,126,60.0,10.49
No,130,1,0,0.0,1,150.4,119,46.0,11.53
